0,0,-4.7806
0.00045982,-0.013596,-4.7806
0.0013359,-0.027169,-4.7805
0.0025885,-0.040724,-4.7803
0.0039676,-0.054215,-4.78
0.0052515,-0.067618,-4.7797
0.006173,-0.081005,-4.7793
0.0064945,-0.094594,-4.7788
0.006128,-0.10866,-4.778
0.0052012,-0.12323,-4.7769
0.0041573,-0.13783,-4.7754
0.0034499,-0.15177,-4.7736
0.0031409,-0.16479,-4.7713
0.0030508,-0.17728,-4.7686
0.0030745,-0.1895,-4.7653
0.0032425,-0.20139,-4.7614
0.0035518,-0.21301,-4.7569
0.0039246,-0.22444,-4.7519
0.0042831,-0.23573,-4.7465
0.004636,-0.24698,-4.7405
0.0050912,-0.25823,-4.7341
0.0056415,-0.26935,-4.7272
0.0061387,-0.28027,-4.72
0.0063806,-0.29104,-4.7126
0.0063134,-0.30176,-4.7048
0.0059885,-0.31226,-4.6969
0.0054631,-0.32235,-4.6888
0.0048876,-0.33213,-4.6805
0.0042083,-0.34173,-4.672
0.0032348,-0.35108,-4.6634
0.0019566,-0.36022,-4.6545
0.00042932,-0.36934,-4.6454
-0.001385,-0.37847,-4.6362
-0.0034615,-0.38746,-4.6268
-0.0057858,-0.39634,-4.6173
-0.0083767,-0.40527,-4.6074
-0.011009,-0.41426,-4.5971
-0.013652,-0.42315,-4.5865
-0.016594,-0.43187,-4.5755
-0.019809,-0.4404,-4.5643
-0.023032,-0.44873,-4.5529
-0.026285,-0.45688,-4.5413
-0.029711,-0.465,-4.5295
-0.033138,-0.4732,-4.5175
-0.036435,-0.48146,-4.5055
-0.039761,-0.48972,-4.4936
-0.043246,-0.49786,-4.4816
-0.046939,-0.50573,-4.4696
-0.050803,-0.51341,-4.4576
-0.054759,-0.52105,-4.4455
-0.058723,-0.52856,-4.4333
-0.062635,-0.53593,-4.4212
-0.066528,-0.54314,-4.4092
-0.070458,-0.55026,-4.3973
-0.074517,-0.55759,-4.3857
-0.078801,-0.56535,-4.3743
-0.083236,-0.57353,-4.3632
-0.087865,-0.58196,-4.3521
-0.092876,-0.5904,-4.3413
-0.0981,-0.59885,-4.3306
-0.10337,-0.60737,-4.32
-0.10874,-0.61589,-4.3095
-0.11428,-0.62428,-4.2992
-0.12001,-0.63249,-4.2889
-0.12594,-0.64065,-4.2788
-0.13206,-0.64892,-4.2688
-0.13831,-0.65746,-4.259
-0.14468,-0.66613,-4.2493
