VERTEX2 0 0.651000 -0.027000 -0.365602
VERTEX2 1 0.659919 -0.033567 -0.942612
VERTEX2 2 0.653211 -0.064950 -1.459089
VERTEX2 3 0.712883 0.017133 -1.940922
VERTEX2 4 0.703227 0.077209 -2.473351
VERTEX2 5 0.754614 0.134824 -3.019333
VERTEX2 6 0.743339 0.198559 2.733548
VERTEX2 7 0.650830 0.269581 2.233121
VERTEX2 8 0.729429 0.376020 1.718216
VERTEX2 9 0.718769 0.408576 1.220791
VERTEX2 10 0.591242 0.278807 0.699461
VERTEX2 11 0.724302 0.324317 0.154253
VERTEX2 12 1.753497 0.229696 -0.108790
VERTEX2 13 2.751156 0.091498 -0.176144
VERTEX2 14 3.727354 -0.021482 -0.145264
VERTEX2 15 4.682511 -0.011846 -0.038035
VERTEX2 16 5.581474 0.118046 0.034334
VERTEX2 17 6.644337 0.256738 0.013243
VERTEX2 18 7.785354 0.299717 0.007197
VERTEX2 19 8.695375 0.222447 -0.341361
VERTEX2 20 8.998598 -0.140961 -0.787715
VERTEX2 21 9.744227 -0.867748 -0.722623
VERTEX2 22 10.472508 -1.511709 -0.684712
VERTEX2 23 11.197068 -2.143560 -0.663312
VERTEX2 24 11.308719 -2.277628 -1.108209
VERTEX2 25 11.702638 -3.160978 -1.126075
VERTEX2 26 12.171491 -4.064396 -1.170283
VERTEX2 27 12.573445 -5.049099 -1.223463
VERTEX2 28 12.965264 -5.963963 -1.290623
VERTEX2 29 13.356321 -7.086274 -1.338352
VERTEX2 30 13.573046 -8.065339 -1.352309
VERTEX2 31 13.680927 -9.024074 -1.425048
VERTEX2 32 13.854521 -9.975898 -1.544678
VERTEX2 33 13.898329 -10.929085 -1.570394
VERTEX2 34 13.904107 -11.975343 -1.560241
VERTEX2 35 13.972541 -12.896649 -1.515427
VERTEX2 36 14.053981 -13.912979 -1.526654
VERTEX2 37 14.089100 -14.898700 -1.534543
VERTEX2 38 14.113877 -15.946116 -1.477992
VERTEX2 39 14.069985 -16.918329 -1.520687
VERTEX2 40 14.092661 -17.976848 -1.536689
VERTEX2 41 14.011533 -18.236492 -1.931635
VERTEX2 42 13.919969 -18.254979 -2.444968
VERTEX2 43 13.837654 -18.135520 -2.986724
VERTEX2 44 13.759195 -18.074172 2.963939
VERTEX2 45 13.737214 -18.059539 2.437562
VERTEX2 46 13.796246 -17.983950 2.437833
VERTEX2 47 13.763891 -18.085351 2.987472
VERTEX2 48 13.290725 -18.327055 -2.762137
VERTEX2 49 12.379032 -18.580618 -2.886051
VERTEX2 50 11.241303 -18.833419 -2.944360
VERTEX2 51 10.239671 -19.091164 -3.041337
VERTEX2 52 9.245550 -19.058114 -3.043062
VERTEX2 53 8.245170 -19.061552 3.124754
VERTEX2 54 7.693328 -19.067529 -2.769330
VERTEX2 55 6.733968 -19.375251 -2.778867
VERTEX2 56 5.883625 -19.736662 -2.913045
VERTEX2 57 4.897525 -19.929303 -3.003833
VERTEX2 58 4.010850 -20.140825 -2.846297
VERTEX2 59 3.053828 -20.437765 -2.909062
VERTEX2 60 1.957205 -20.574952 -2.917355
VERTEX2 61 1.038880 -20.693447 -2.846214
VERTEX2 62 0.056178 -20.815730 -2.960739
VERTEX2 63 -0.971551 -21.065469 -2.898118
VERTEX2 64 -1.923466 -21.324310 -2.855367
VERTEX2 65 -2.847874 -21.629971 -2.894801
VERTEX2 66 -3.295297 -21.758251 3.017832
VERTEX2 67 -3.302635 -21.653029 2.509641
VERTEX2 68 -3.196117 -21.604093 2.012228
VERTEX2 69 -3.468135 -20.638599 1.998613
VERTEX2 70 -3.918930 -19.747294 2.071981
